movie_title,director_name,genres,actor_1_name,actor_2_name,actor_3_name
alice in wonderland ,Tim Burton,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway
x-men: the last stand ,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore
monsters university ,Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes
transformers: revenge of the fallen ,Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez
transformers: age of extinction ,Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer
oz the great and powerful ,Sam Raimi,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco
the amazing spider-man 2 ,Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak
tron: legacy ,Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain
cars 2 ,John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard
green lantern ,Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi
toy story 3 ,Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles
terminator salvation ,McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common
furious 7 ,James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel
world war z ,Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos
x-men: days of future past ,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman
star trek into darkness ,J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke
jack the giant slayer ,Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown
the great gatsby ,Baz Luhrmann,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley
prince of persia: the sands of time ,Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie
pacific rim ,Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell
transformers: dark of the moon ,Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn
indiana jones and the kingdom of the crystal skull ,Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent
the good dinosaur ,Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn
brave ,Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters
star trek beyond ,Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson
wall·e ,Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin
rush hour 3 ,Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir
2012 ,Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy
a christmas carol ,Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman
jupiter ascending ,Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne
the legend of tarzan ,David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump
"the chronicles of narnia: the lion, the witch and the wardrobe ",Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi
x-men: apocalypse ,Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan
the dark knight ,Christopher Nolan,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman
up ,Pete Docter,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell
monsters vs. aliens ,Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert
iron man ,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau
hugo ,Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone
wild wild west ,Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling
the mummy: tomb of the dragon emperor ,Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong
suicide squad ,David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz
evan almighty ,Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell
edge of tomorrow ,Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor
waterworld ,Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae
g.i. joe: the rise of cobra ,Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard
inside out ,Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith
the jungle book ,Jon Favreau,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling
iron man 2 ,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau
snow white and the huntsman ,Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin
maleficent ,Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley
dawn of the planet of the apes ,Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee
the lovers ,Roland Joffé,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu
47 ronin ,Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi
captain america: the winter soldier ,Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell
shrek forever after ,Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place
tomorrowland ,Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson
big hero 6 ,Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi
wreck-it ralph ,Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio
the polar express ,Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari
independence day: resurgence ,Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch
how to train your dragon ,Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson
terminator 3: rise of the machines ,Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy
guardians of the galaxy ,James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou
interstellar ,Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy
inception ,Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt
godzilla resurgence ,Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
the hobbit: an unexpected journey ,Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt
the fast and the furious ,Rob Cohen,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster
the curious case of benjamin button ,David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond
x-men: first class ,Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt
the hunger games: mockingjay - part 2 ,Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
the sorcerer's apprentice ,Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron
poseidon ,Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher
alice through the looking glass ,James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway
shrek the third ,Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett
warcraft ,Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga
terminator genisys ,Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith
the chronicles of narnia: the voyage of the dawn treader ,Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent
pearl harbor ,Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako
transformers ,Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn
alexander ,Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed
harry potter and the order of the phoenix ,David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw
harry potter and the goblet of fire ,Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint
hancock ,Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan
i am legend ,Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith
charlie and the chocolate factory ,Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly
ratatouille ,Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy
batman begins ,Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman
madagascar: escape 2 africa ,Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer
night at the museum: battle of the smithsonian ,Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan
x-men origins: wolverine ,Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan
the matrix revolutions ,Lana Wachowski,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye
frozen ,Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch
the matrix reloaded ,Lana Wachowski,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis
thor: the dark world ,Alan Taylor,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins
mad max: fury road ,George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz
angels & demons ,Ron Howard,Mystery Thriller,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl
thor ,Kenneth Branagh,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins
bolt ,Byron Howard,Adventure Animation Comedy Drama Family,Chloë Grace Moretz,Diedrich Bader,James Lipton
g-force ,Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,Kelli Garner,Piper Mackenzie Harris,Niecy Nash
wrath of the titans ,Jonathan Liebesman,Action Adventure Fantasy,Liam Neeson,Edgar Ramírez,Lily James
dark shadows ,Tim Burton,Comedy Fantasy Horror,Johnny Depp,Chloë Grace Moretz,Christopher Lee
mission: impossible - rogue nation ,Christopher McQuarrie,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Sean Harris
the wolfman ,Joe Johnston,Drama Fantasy Horror Thriller,Anthony Hopkins,Simon Merrells,Art Malik
the legend of tarzan ,David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump
bee movie ,Steve Hickner,Adventure Animation Comedy Family,Matthew Broderick,Oprah Winfrey,Rip Torn
kung fu panda 2 ,Jennifer Yuh Nelson,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Gary Oldman,Mike Bell
the last airbender ,M. Night Shyamalan,Action Adventure Family Fantasy,Seychelle Gabriel,Noah Ringer,Aasif Mandvi
mission: impossible iii ,J.J. Abrams,Action Adventure Thriller,Philip Seymour Hoffman,Tom Cruise,Eddie Marsan
white house down ,Roland Emmerich,Action Drama Thriller,Channing Tatum,Jake Weber,Matt Craven
mars needs moms ,Simon Wells,Action Adventure Animation Comedy Family Sci-Fi,Elisabeth Harnois,Dan Fogler,Tom Everett Scott
flushed away ,David Bowers,Adventure Animation Comedy Family,Hugh Jackman,Kate Winslet,David Suchet
pan ,Joe Wright,Adventure Family Fantasy,Hugh Jackman,Cara Delevingne,Nonso Anozie
mr. peabody & sherman ,Rob Minkoff,Adventure Animation Comedy Family Sci-Fi,Ty Burrell,Zach Callison,Karan Brar
troy ,Wolfgang Petersen,Adventure,Brad Pitt,Orlando Bloom,Julian Glover
madagascar 3: europe's most wanted ,Eric Darnell,Adventure Animation Comedy Family,Jada Pinkett Smith,Martin Short,Cedric the Entertainer
die another day ,Lee Tamahori,Action Adventure Thriller,Toby Stephens,Colin Salmon,Rick Yune
ghostbusters ,Paul Feig,Action Comedy Fantasy Sci-Fi,Ed Begley Jr.,Kate McKinnon,Zach Woods
armageddon ,Michael Bay,Action Adventure Sci-Fi Thriller,Bruce Willis,Steve Buscemi,Will Patton
men in black ii ,Barry Sonnenfeld,Action Adventure Comedy Family Fantasy Mystery Sci-Fi,Will Smith,Rosario Dawson,Rip Torn
beowulf ,Robert Zemeckis,Action Adventure Animation Fantasy,Robin Wright,Anthony Hopkins,Sebastian Roché
kung fu panda 3 ,Alessandro Carloni,Action Adventure Animation Comedy Family,J.K. Simmons,Angelina Jolie Pitt,Wayne Knight
mission: impossible - ghost protocol ,Brad Bird,Action Adventure Thriller,Tom Cruise,Jeremy Renner,Michael Nyqvist
rise of the guardians ,Peter Ramsey,Adventure Animation Family Fantasy,Hugh Jackman,Kamil McFadden,Khamani Griffin
fun with dick and jane ,Dean Parisot,Comedy Crime,John Michael Higgins,Richard Burgi,David Herman
the last samurai ,Edward Zwick,Action Drama History War,Tom Cruise,Tony Goldwyn,Chad Lindberg
exodus: gods and kings ,Ridley Scott,Action Adventure Drama,Christian Bale,María Valverde,Ben Mendelsohn
star trek ,J.J. Abrams,Action Adventure Sci-Fi,Chris Hemsworth,Leonard Nimoy,Bruce Greenwood
spider-man ,Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst
how to train your dragon 2 ,Dean DeBlois,Action Adventure Animation Comedy Family Fantasy,Gerard Butler,Djimon Hounsou,America Ferrera
gods of egypt ,Alex Proyas,Action Adventure Fantasy,Gerard Butler,Elodie Yung,Bryan Brown
stealth ,Rob Cohen,Action Adventure Sci-Fi Thriller,Sam Shepard,Joe Morton,Richard Roxburgh
watchmen ,Zack Snyder,Action Drama Mystery Sci-Fi,Matt Frewer,Billy Crudup,Stephen McHattie
lethal weapon 4 ,Richard Donner,Action Crime Thriller,Jet Li,Rene Russo,Darlene Love
hulk ,Ang Lee,Action Sci-Fi,Kevin Rankin,Regi Davis,Celia Weston
g.i. joe: retaliation ,Jon M. Chu,Action Adventure Sci-Fi Thriller,Channing Tatum,Dwayne Johnson,Elodie Yung
sahara ,Breck Eisner,Action Adventure Comedy Thriller,Matthew McConaughey,Rainn Wilson,Delroy Lindo
final fantasy: the spirits within ,Hironobu Sakaguchi,Action Adventure Animation Fantasy Romance Sci-Fi,Steve Buscemi,Ming-Na Wen,Jean Simmons
captain america: the first avenger ,Joe Johnston,Action Adventure Sci-Fi,Chris Evans,Dominic Cooper,Hayley Atwell
the world is not enough ,Michael Apted,Action Adventure Thriller,Colin Salmon,Maria Grazia Cucinotta,Desmond Llewelyn
master and commander: the far side of the world ,Peter Weir,Action Adventure Drama History War,James D'Arcy,Lee Ingleby,David Threlfall
the twilight saga: breaking dawn - part 2 ,Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner
happy feet 2 ,George Miller,Animation Comedy Family Musical,Robin Williams,Brad Pitt,Common
the incredible hulk ,Louis Leterrier,Action Adventure Sci-Fi,Ty Burrell,Peter Mensah,William Hurt
the bfg ,Steven Spielberg,Adventure Family Fantasy,Mark Rylance,Penelope Wilton,Rafe Spall
the revenant ,Alejandro G. Iñárritu,Adventure Drama Thriller Western,Leonardo DiCaprio,Tom Hardy,Lukas Haas
turbo ,David Soren,Adventure Animation Comedy Family Sport,Ryan Reynolds,Snoop Dogg,Ben Schwartz
rango ,Gore Verbinski,Adventure Animation Comedy Family Western,Johnny Depp,Ray Winstone,Stephen Root
penguins of madagascar ,Eric Darnell,Adventure Animation Comedy Family,Benedict Cumberbatch,Annet Mahendru,Andy Richter
the bourne ultimatum ,Paul Greengrass,Action Mystery Thriller,Matt Damon,Edgar Ramírez,Albert Finney
kung fu panda ,Mark Osborne,Action Adventure Animation Comedy Family,Angelina Jolie Pitt,Wayne Knight,Dan Fogler
ant-man ,Peyton Reed,Action Adventure Comedy Sci-Fi,Judy Greer,Hayley Atwell,T.I.
the hunger games: catching fire ,Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Josh Hutcherson,Sandra Ellis Lafferty
the twilight saga: breaking dawn - part 2 ,Bill Condon,Adventure Drama Fantasy Romance,Robert Pattinson,Kristen Stewart,Taylor Lautner
home ,Tim Johnson,Adventure Animation Comedy Family Fantasy Sci-Fi,Jim Parsons,Matt Jones,April Winchell
war of the worlds ,Steven Spielberg,Adventure Sci-Fi Thriller,Tom Cruise,Lisa Ann Walter,Rick Gonzalez
bad boys ii ,Michael Bay,Action Comedy Crime Thriller,Will Smith,Henry Rollins,Jordi Mollà
puss in boots ,Chris Miller,Action Adventure Animation Comedy Family Fantasy,Salma Hayek,Constance Marie,Amy Sedaris
salt ,Phillip Noyce,Action Crime Mystery Thriller,Angelina Jolie Pitt,Andre Braugher,August Diehl
noah ,Darren Aronofsky,Action Adventure Drama,Anthony Hopkins,Emma Watson,Logan Lerman
the adventures of tintin ,Steven Spielberg,Action Adventure Family Mystery,Toby Jones,Mackenzie Crook,Tony Curran
harry potter and the prisoner of azkaban ,Alfonso Cuarón,Adventure Family Fantasy Mystery,Daniel Radcliffe,Gary Oldman,Rupert Grint
australia ,Baz Luhrmann,Adventure Drama Romance War,Essie Davis,Bryan Brown,Eddie Baroo
after earth ,M. Night Shyamalan,Action Adventure Sci-Fi,Will Smith,Zoë Kravitz,Glenn Morshower
dinosaur ,Eric Leighton,Adventure Animation Family Thriller,Alfre Woodard,D.B. Sweeney,Della Reese
harry potter and the deathly hallows: part ii ,Matt Birch,Action Fantasy,Rupert Grint,Dave Legeno,Ralph Ineson
night at the museum: secret of the tomb ,Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan
megamind ,Tom McGrath,Action Animation Comedy Family Sci-Fi,J.K. Simmons,Brad Pitt,Will Ferrell
harry potter and the sorcerer's stone ,Chris Columbus,Adventure Family Fantasy,Daniel Radcliffe,Fiona Shaw,Verne Troyer
r.i.p.d. ,Robert Schwentke,Action Comedy Fantasy,Ryan Reynolds,Jeff Bridges,Stephanie Szostak
godzilla resurgence ,Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda
pirates of the caribbean: the curse of the black pearl ,Gore Verbinski,Action Adventure Fantasy,Johnny Depp,Orlando Bloom,Jack Davenport
harry potter and the deathly hallows: part i ,Matt Birch,Fantasy,Rupert Grint,Toby Jones,Alfred Enoch
the hunger games: mockingjay - part 1 ,Francis Lawrence,Adventure Sci-Fi Thriller,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson
the da vinci code ,Ron Howard,Mystery Thriller,Tom Hanks,Seth Gabel,Jürgen Prochnow
rio 2 ,Carlos Saldanha,Adventure Animation Comedy Family Musical,Miguel Ferrer,Rachel Crow,Jeffrey Garcia
x-men 2 ,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Bruce Davison,Aaron Stanford
fast five ,Justin Lin,Action Crime Thriller,Paul Walker,Vin Diesel,Dwayne Johnson
sherlock holmes: a game of shadows ,Guy Ritchie,Action Adventure Crime Mystery Thriller,Robert Downey Jr.,Eddie Marsan,Paul Anderson
clash of the titans ,Louis Leterrier,Action Adventure Fantasy,Liam Neeson,Jason Flemyng,Alexa Davalos
total recall ,Paul Verhoeven,Action Sci-Fi,Ronny Cox,Rachel Ticotin,Marshall Bell
the 13th warrior ,John McTiernan,Action Adventure History,Tony Curran,Vladimir Kulich,Clive Russell
the bourne legacy ,Tony Gilroy,Action Adventure Thriller,Jeremy Renner,Scott Glenn,Stacy Keach
batman & robin ,Joel Schumacher,Action,Michael Gough,Vivica A. Fox,John Glover
how the grinch stole christmas ,Ron Howard,Comedy Family Fantasy,Clint Howard,T.J. Thyne,Molly Shannon
the day after tomorrow ,Roland Emmerich,Action Adventure Sci-Fi Thriller,Jake Gyllenhaal,Dennis Quaid,Sela Ward
mission: impossible ii ,John Woo,Action Adventure Thriller,Tom Cruise,Dougray Scott,Richard Roxburgh
the perfect storm ,Wolfgang Petersen,Action Adventure Drama Thriller,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton
fantastic 4: rise of the silver surfer ,Tim Story,Action Adventure Sci-Fi Thriller,Chris Evans,Ioan Gruffudd,Andre Braugher
life of pi ,Ang Lee,Adventure Drama Fantasy,Suraj Sharma,Rafe Spall,Tabu
ghost rider ,Mark Steven Johnson,Action Fantasy Thriller,Nicolas Cage,Matt Long,Peter Fonda
jason bourne ,Paul Greengrass,Action Thriller,Matt Damon,Riz Ahmed,Ato Essandoh
charlie's angels: full throttle ,McG,Action Adventure Comedy Crime,Demi Moore,Bernie Mac,Justin Theroux
prometheus ,Ridley Scott,Adventure Mystery Sci-Fi,Michael Fassbender,Charlize Theron,Sean Harris
stuart little 2 ,Rob Minkoff,Adventure Animation Comedy Family Fantasy,Nathan Lane,Brad Garrett,Melanie Griffith
elysium ,Neill Blomkamp,Action Drama Sci-Fi Thriller,Matt Damon,Sharlto Copley,Alice Braga
the chronicles of riddick ,David Twohy,Action Adventure Sci-Fi Thriller,Vin Diesel,Alexa Davalos,Christina Cox
robocop ,José Padilha,Action Crime Sci-Fi Thriller,Gary Oldman,Abbie Cornish,Jennifer Ehle
speed racer ,Lana Wachowski,Action Family Sport,Scott Porter,Kick Gurry,Nicholas Elia
how do you know ,James L. Brooks,Comedy Drama Romance,Shelley Conn,Domenick Lombardozzi,Teyonah Parris
knight and day ,James Mangold,Action Comedy Romance,Tom Cruise,Marc Blucas,Jordi Mollà
oblivion ,Joseph Kosinski,Action Adventure Mystery Sci-Fi,Morgan Freeman,Tom Cruise,Zoë Bell
star wars: episode iii - revenge of the sith ,George Lucas,Action Adventure Fantasy Sci-Fi,Natalie Portman,Christopher Lee,Hayden Christensen
star wars: episode ii - attack of the clones ,George Lucas,Action Adventure Fantasy Sci-Fi,Natalie Portman,Christopher Lee,Hayden Christensen
"monsters, inc. ",Pete Docter,Adventure Animation Comedy Family Fantasy,Steve Buscemi,John Ratzenberger,James Coburn
the wolverine ,James Mangold,Action Adventure Sci-Fi Thriller,Hugh Jackman,Tao Okamoto,Rila Fukushima
star wars: episode i - the phantom menace ,George Lucas,Action Adventure Fantasy Sci-Fi,Natalie Portman,Liam Neeson,Ian McDiarmid
