,Unnamed: 0,Unnamed: 0.1,title,director,genres,actor1,actor2,actor3,combined_text
20,20,20,the amazing spider-man,Marc Webb,Action Adventure Fantasy,Emma Stone,Andrew Garfield,Chris Zylka,Marc Webb Emma Stone Andrew Garfield Chris Zylka Action Adventure Fantasy
21,21,21,robin hood,Ridley Scott,Action Adventure Drama History,Mark Addy,William Hurt,Scott Grimes,Ridley Scott Mark Addy William Hurt Scott Grimes Action Adventure Drama History
22,22,22,the hobbit: the desolation of smaug,Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
23,23,23,the golden compass,Chris Weitz,Adventure Family Fantasy,Christopher Lee,Eva Green,Kristin Scott Thomas,Chris Weitz Christopher Lee Eva Green Kristin Scott Thomas Adventure Family Fantasy
24,24,24,king kong,Peter Jackson,Action Adventure Drama Romance,Naomi Watts,Thomas Kretschmann,Evan Parke,Peter Jackson Naomi Watts Thomas Kretschmann Evan Parke Action Adventure Drama Romance
25,25,25,titanic,James Cameron,Drama Romance,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,James Cameron Leonardo DiCaprio Kate Winslet Gloria Stuart Drama Romance
26,26,26,captain america: civil war,Anthony Russo,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Chris Evans,Anthony Russo Robert Downey Jr. Scarlett Johansson Chris Evans Action Adventure Sci-Fi
27,27,27,battleship,Peter Berg,Action Adventure Sci-Fi Thriller,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,Peter Berg Liam Neeson Alexander Skarsgård Tadanobu Asano Action Adventure Sci-Fi Thriller
28,28,28,jurassic world,Colin Trevorrow,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard,Judy Greer,Omar Sy,Colin Trevorrow Bryce Dallas Howard Judy Greer Omar Sy Action Adventure Sci-Fi Thriller
29,29,29,skyfall,Sam Mendes,Action Adventure Thriller,Albert Finney,Helen McCrory,Rory Kinnear,Sam Mendes Albert Finney Helen McCrory Rory Kinnear Action Adventure Thriller
30,30,30,spider-man 2,Sam Raimi,Action Adventure Fantasy Romance,J.K. Simmons,James Franco,Kirsten Dunst,Sam Raimi J.K. Simmons James Franco Kirsten Dunst Action Adventure Fantasy Romance
31,31,31,iron man 3,Shane Black,Action Adventure Sci-Fi,Robert Downey Jr.,Jon Favreau,Don Cheadle,Shane Black Robert Downey Jr. Jon Favreau Don Cheadle Action Adventure Sci-Fi
32,32,32,alice in wonderland,Tim Burton,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,Tim Burton Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
33,33,33,x-men: the last stand,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Brett Ratner Hugh Jackman Kelsey Grammer Daniel Cudmore Action Adventure Fantasy Sci-Fi Thriller
34,34,34,monsters university,Dan Scanlon,Adventure Animation Comedy Family Fantasy,Steve Buscemi,Tyler Labine,Sean Hayes,Dan Scanlon Steve Buscemi Tyler Labine Sean Hayes Adventure Animation Comedy Family Fantasy
35,35,35,transformers: revenge of the fallen,Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Michael Bay Glenn Morshower Kevin Dunn Ramon Rodriguez Action Adventure Sci-Fi
36,36,36,transformers: age of extinction,Michael Bay,Action Adventure Sci-Fi,Bingbing Li,Sophia Myles,Kelsey Grammer,Michael Bay Bingbing Li Sophia Myles Kelsey Grammer Action Adventure Sci-Fi
37,37,37,oz the great and powerful,Sam Raimi,Adventure Family Fantasy,Tim Holmes,Mila Kunis,James Franco,Sam Raimi Tim Holmes Mila Kunis James Franco Adventure Family Fantasy
38,38,38,the amazing spider-man 2,Marc Webb,Action Adventure Fantasy Sci-Fi,Emma Stone,Andrew Garfield,B.J. Novak,Marc Webb Emma Stone Andrew Garfield B.J. Novak Action Adventure Fantasy Sci-Fi
39,39,39,tron: legacy,Joseph Kosinski,Action Adventure Sci-Fi,Jeff Bridges,Olivia Wilde,James Frain,Joseph Kosinski Jeff Bridges Olivia Wilde James Frain Action Adventure Sci-Fi
40,40,40,cars 2,John Lasseter,Adventure Animation Comedy Family Sport,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,John Lasseter Joe Mantegna Thomas Kretschmann Eddie Izzard Adventure Animation Comedy Family Sport
41,41,41,green lantern,Martin Campbell,Action Adventure Sci-Fi,Ryan Reynolds,Temuera Morrison,Taika Waititi,Martin Campbell Ryan Reynolds Temuera Morrison Taika Waititi Action Adventure Sci-Fi
42,42,42,toy story 3,Lee Unkrich,Adventure Animation Comedy Family Fantasy,Tom Hanks,John Ratzenberger,Don Rickles,Lee Unkrich Tom Hanks John Ratzenberger Don Rickles Adventure Animation Comedy Family Fantasy
43,43,43,terminator salvation,McG,Action Adventure Sci-Fi,Christian Bale,Bryce Dallas Howard,Common,McG Christian Bale Bryce Dallas Howard Common Action Adventure Sci-Fi
44,44,44,furious 7,James Wan,Action Crime Thriller,Jason Statham,Paul Walker,Vin Diesel,James Wan Jason Statham Paul Walker Vin Diesel Action Crime Thriller
45,45,45,world war z,Marc Forster,Action Adventure Horror Sci-Fi Thriller,Peter Capaldi,Brad Pitt,Mireille Enos,Marc Forster Peter Capaldi Brad Pitt Mireille Enos Action Adventure Horror Sci-Fi Thriller
46,46,46,x-men: days of future past,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Bryan Singer Jennifer Lawrence Peter Dinklage Hugh Jackman Action Adventure Fantasy Sci-Fi Thriller
47,47,47,star trek into darkness,J.J. Abrams,Action Adventure Sci-Fi,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,J.J. Abrams Benedict Cumberbatch Bruce Greenwood Noel Clarke Action Adventure Sci-Fi
48,48,48,jack the giant slayer,Bryan Singer,Adventure Fantasy,Eddie Marsan,Ewen Bremner,Ralph Brown,Bryan Singer Eddie Marsan Ewen Bremner Ralph Brown Adventure Fantasy
49,49,49,the great gatsby,Baz Luhrmann,Drama Romance,Leonardo DiCaprio,Elizabeth Debicki,Steve Bisley,Baz Luhrmann Leonardo DiCaprio Elizabeth Debicki Steve Bisley Drama Romance
50,50,50,prince of persia: the sands of time,Mike Newell,Action Adventure Fantasy Romance,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Mike Newell Jake Gyllenhaal Richard Coyle Reece Ritchie Action Adventure Fantasy Romance
51,51,51,pacific rim,Guillermo del Toro,Action Adventure Sci-Fi,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Guillermo del Toro Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Action Adventure Sci-Fi
52,52,52,transformers: dark of the moon,Michael Bay,Action Adventure Sci-Fi,Glenn Morshower,Lester Speight,Kevin Dunn,Michael Bay Glenn Morshower Lester Speight Kevin Dunn Action Adventure Sci-Fi
53,53,53,indiana jones and the kingdom of the crystal skull,Steven Spielberg,Action Adventure Fantasy,Harrison Ford,Ray Winstone,Jim Broadbent,Steven Spielberg Harrison Ford Ray Winstone Jim Broadbent Action Adventure Fantasy
54,54,54,the good dinosaur,Peter Sohn,Adventure Animation Comedy Family Fantasy,A.J. Buckley,Jack McGraw,Peter Sohn,Peter Sohn A.J. Buckley Jack McGraw Peter Sohn Adventure Animation Comedy Family Fantasy
55,55,55,brave,Mark Andrews,Adventure Animation Comedy Family Fantasy,Kelly Macdonald,John Ratzenberger,Julie Walters,Mark Andrews Kelly Macdonald John Ratzenberger Julie Walters Adventure Animation Comedy Family Fantasy
56,56,56,star trek beyond,Justin Lin,Action Adventure Sci-Fi Thriller,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Justin Lin Sofia Boutella Melissa Roxburgh Lydia Wilson Action Adventure Sci-Fi Thriller
57,57,57,wall·e,Andrew Stanton,Adventure Animation Family Sci-Fi,John Ratzenberger,Fred Willard,Jeff Garlin,Andrew Stanton John Ratzenberger Fred Willard Jeff Garlin Adventure Animation Family Sci-Fi
58,58,58,rush hour 3,Brett Ratner,Action Comedy Crime Thriller,Tzi Ma,Dana Ivey,Noémie Lenoir,Brett Ratner Tzi Ma Dana Ivey Noémie Lenoir Action Comedy Crime Thriller
59,59,59,2012,Roland Emmerich,Action Adventure Sci-Fi,Oliver Platt,Liam James,Tom McCarthy,Roland Emmerich Oliver Platt Liam James Tom McCarthy Action Adventure Sci-Fi
60,60,60,a christmas carol,Robert Zemeckis,Animation Drama Family Fantasy,Robin Wright,Colin Firth,Gary Oldman,Robert Zemeckis Robin Wright Colin Firth Gary Oldman Animation Drama Family Fantasy
61,61,61,jupiter ascending,Lana Wachowski,Action Adventure Sci-Fi,Channing Tatum,Mila Kunis,Eddie Redmayne,Lana Wachowski Channing Tatum Mila Kunis Eddie Redmayne Action Adventure Sci-Fi
62,62,62,the legend of tarzan,David Yates,Action Adventure Drama Romance,Christoph Waltz,Alexander Skarsgård,Casper Crump,David Yates Christoph Waltz Alexander Skarsgård Casper Crump Action Adventure Drama Romance
63,63,63,"the chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson,Adventure Family Fantasy,Jim Broadbent,Kiran Shah,Shane Rangi,Andrew Adamson Jim Broadbent Kiran Shah Shane Rangi Adventure Family Fantasy
64,64,64,x-men: apocalypse,Bryan Singer,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Bryan Singer Jennifer Lawrence Michael Fassbender Tye Sheridan Action Adventure Sci-Fi
65,65,65,the dark knight,Christopher Nolan,Action Crime Drama Thriller,Christian Bale,Heath Ledger,Morgan Freeman,Christopher Nolan Christian Bale Heath Ledger Morgan Freeman Action Crime Drama Thriller
66,66,66,up,Pete Docter,Adventure Animation Comedy Family,John Ratzenberger,Delroy Lindo,Jess Harnell,Pete Docter John Ratzenberger Delroy Lindo Jess Harnell Adventure Animation Comedy Family
67,67,67,monsters vs. aliens,Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,Amy Poehler,Rainn Wilson,Stephen Colbert,Rob Letterman Amy Poehler Rainn Wilson Stephen Colbert Action Adventure Animation Comedy Family Sci-Fi
68,68,68,iron man,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Jon Favreau Robert Downey Jr. Jeff Bridges Jon Favreau Action Adventure Sci-Fi
69,69,69,hugo,Martin Scorsese,Adventure Drama Family Mystery,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Martin Scorsese Chloë Grace Moretz Christopher Lee Ray Winstone Adventure Drama Family Mystery
70,70,70,wild wild west,Barry Sonnenfeld,Action Comedy Sci-Fi Western,Will Smith,Salma Hayek,Bai Ling,Barry Sonnenfeld Will Smith Salma Hayek Bai Ling Action Comedy Sci-Fi Western
71,71,71,the mummy: tomb of the dragon emperor,Rob Cohen,Action Adventure Fantasy Horror Thriller,Jet Li,Brendan Fraser,Russell Wong,Rob Cohen Jet Li Brendan Fraser Russell Wong Action Adventure Fantasy Horror Thriller
72,72,72,suicide squad,David Ayer,Action Adventure Comedy Sci-Fi,Will Smith,Robin Atkin Downes,Ike Barinholtz,David Ayer Will Smith Robin Atkin Downes Ike Barinholtz Action Adventure Comedy Sci-Fi
73,73,73,evan almighty,Tom Shadyac,Comedy Family Fantasy,Jimmy Bennett,Morgan Freeman,Steve Carell,Tom Shadyac Jimmy Bennett Morgan Freeman Steve Carell Comedy Family Fantasy
74,74,74,edge of tomorrow,Doug Liman,Action Adventure Sci-Fi,Tom Cruise,Lara Pulver,Noah Taylor,Doug Liman Tom Cruise Lara Pulver Noah Taylor Action Adventure Sci-Fi
75,75,75,waterworld,Kevin Reynolds,Action Adventure Sci-Fi Thriller,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Kevin Reynolds Jeanne Tripplehorn Rick Aviles Zakes Mokae Action Adventure Sci-Fi Thriller
76,76,76,g.i. joe: the rise of cobra,Stephen Sommers,Action Adventure Sci-Fi Thriller,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Stephen Sommers Joseph Gordon-Levitt Dennis Quaid Leo Howard Action Adventure Sci-Fi Thriller
77,77,77,inside out,Pete Docter,Adventure Animation Comedy Drama Family Fantasy,Amy Poehler,Mindy Kaling,Phyllis Smith,Pete Docter Amy Poehler Mindy Kaling Phyllis Smith Adventure Animation Comedy Drama Family Fantasy
78,78,78,the jungle book,Jon Favreau,Adventure Drama Family Fantasy,Scarlett Johansson,Bill Murray,Garry Shandling,Jon Favreau Scarlett Johansson Bill Murray Garry Shandling Adventure Drama Family Fantasy
79,79,79,iron man 2,Jon Favreau,Action Adventure Sci-Fi,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Jon Favreau Robert Downey Jr. Scarlett Johansson Jon Favreau Action Adventure Sci-Fi
80,80,80,snow white and the huntsman,Rupert Sanders,Action Adventure Drama Fantasy,Chris Hemsworth,Kristen Stewart,Sam Claflin,Rupert Sanders Chris Hemsworth Kristen Stewart Sam Claflin Action Adventure Drama Fantasy
81,81,81,maleficent,Robert Stromberg,Action Adventure Family Fantasy Romance,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Robert Stromberg Angelina Jolie Pitt Sharlto Copley Sam Riley Action Adventure Family Fantasy Romance
82,82,82,dawn of the planet of the apes,Matt Reeves,Action Adventure Drama Sci-Fi,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Matt Reeves Gary Oldman Judy Greer Kodi Smit-McPhee Action Adventure Drama Sci-Fi
83,83,83,the lovers,Roland Joffé,Action Adventure Romance Sci-Fi,Tamsin Egerton,Alice Englert,Bipasha Basu,Roland Joffé Tamsin Egerton Alice Englert Bipasha Basu Action Adventure Romance Sci-Fi
84,84,84,47 ronin,Carl Rinsch,Action Adventure Drama Fantasy,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Carl Rinsch Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Action Adventure Drama Fantasy
85,85,85,captain america: the winter soldier,Anthony Russo,Action Adventure Sci-Fi,Scarlett Johansson,Chris Evans,Hayley Atwell,Anthony Russo Scarlett Johansson Chris Evans Hayley Atwell Action Adventure Sci-Fi
86,86,86,shrek forever after,Mike Mitchell,Adventure Animation Comedy Family Fantasy,Jon Hamm,Kathy Griffin,Mary Kay Place,Mike Mitchell Jon Hamm Kathy Griffin Mary Kay Place Adventure Animation Comedy Family Fantasy
87,87,87,tomorrowland,Brad Bird,Action Adventure Family Mystery Sci-Fi,Judy Greer,Chris Bauer,Thomas Robinson,Brad Bird Judy Greer Chris Bauer Thomas Robinson Action Adventure Family Mystery Sci-Fi
88,88,88,big hero 6,Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Don Hall Damon Wayans Jr. Daniel Henney Abraham Benrubi Action Adventure Animation Comedy Drama Family Sci-Fi
89,89,89,wreck-it ralph,Rich Moore,Adventure Animation Comedy Family Sci-Fi,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Rich Moore Jack McBrayer Sarah Silverman Joe Lo Truglio Adventure Animation Comedy Family Sci-Fi
90,90,90,the polar express,Robert Zemeckis,Adventure Animation Family Fantasy,Tom Hanks,Eddie Deezen,Peter Scolari,Robert Zemeckis Tom Hanks Eddie Deezen Peter Scolari Adventure Animation Family Fantasy
91,91,91,independence day: resurgence,Roland Emmerich,Action Adventure Sci-Fi,Vivica A. Fox,Sela Ward,Judd Hirsch,Roland Emmerich Vivica A. Fox Sela Ward Judd Hirsch Action Adventure Sci-Fi
92,92,92,how to train your dragon,Dean DeBlois,Adventure Animation Family Fantasy,Gerard Butler,America Ferrera,Craig Ferguson,Dean DeBlois Gerard Butler America Ferrera Craig Ferguson Adventure Animation Family Fantasy
93,93,93,terminator 3: rise of the machines,Jonathan Mostow,Action Sci-Fi,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Jonathan Mostow Nick Stahl M.C. Gainey Carolyn Hennesy Action Sci-Fi
94,94,94,guardians of the galaxy,James Gunn,Action Adventure Sci-Fi,Bradley Cooper,Vin Diesel,Djimon Hounsou,James Gunn Bradley Cooper Vin Diesel Djimon Hounsou Action Adventure Sci-Fi
95,95,95,interstellar,Christopher Nolan,Adventure Drama Sci-Fi,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Christopher Nolan Matthew McConaughey Anne Hathaway Mackenzie Foy Adventure Drama Sci-Fi
96,96,96,inception,Christopher Nolan,Action Adventure Sci-Fi Thriller,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Christopher Nolan Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Action Adventure Sci-Fi Thriller
97,97,97,godzilla resurgence,Hideaki Anno,Action Adventure Drama Horror Sci-Fi,Mark Chinnery,Shin'ya Tsukamoto,Atsuko Maeda,Hideaki Anno Mark Chinnery Shin'ya Tsukamoto Atsuko Maeda Action Adventure Drama Horror Sci-Fi
98,98,98,the hobbit: an unexpected journey,Peter Jackson,Adventure Fantasy,Aidan Turner,Adam Brown,James Nesbitt,Peter Jackson Aidan Turner Adam Brown James Nesbitt Adventure Fantasy
99,99,99,the fast and the furious,Rob Cohen,Action Crime Thriller,Paul Walker,Vin Diesel,Jordana Brewster,Rob Cohen Paul Walker Vin Diesel Jordana Brewster Action Crime Thriller
100,100,100,the curious case of benjamin button,David Fincher,Drama Fantasy Romance,Brad Pitt,Jason Flemyng,Julia Ormond,David Fincher Brad Pitt Jason Flemyng Julia Ormond Drama Fantasy Romance
101,101,101,x-men: first class,Matthew Vaughn,Action Adventure Sci-Fi,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Matthew Vaughn Jennifer Lawrence Michael Fassbender Oliver Platt Action Adventure Sci-Fi
102,102,102,the hunger games: mockingjay - part 2,Francis Lawrence,Adventure Sci-Fi,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Francis Lawrence Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Adventure Sci-Fi
103,103,103,the sorcerer's apprentice,Jon Turteltaub,Action Adventure Family Fantasy,Nicolas Cage,Omar Benson Miller,Robert Capron,Jon Turteltaub Nicolas Cage Omar Benson Miller Robert Capron Action Adventure Family Fantasy
104,104,104,poseidon,Wolfgang Petersen,Action Adventure Drama Thriller,Jimmy Bennett,Mike Vogel,Andre Braugher,Wolfgang Petersen Jimmy Bennett Mike Vogel Andre Braugher Action Adventure Drama Thriller
105,105,105,alice through the looking glass,James Bobin,Adventure Family Fantasy,Johnny Depp,Alan Rickman,Anne Hathaway,James Bobin Johnny Depp Alan Rickman Anne Hathaway Adventure Family Fantasy
106,106,106,shrek the third,Chris Miller,Adventure Animation Comedy Family Fantasy,Justin Timberlake,Eric Idle,Rupert Everett,Chris Miller Justin Timberlake Eric Idle Rupert Everett Adventure Animation Comedy Family Fantasy
107,107,107,warcraft,Duncan Jones,Action Adventure Fantasy,Dominic Cooper,Callum Rennie,Ruth Negga,Duncan Jones Dominic Cooper Callum Rennie Ruth Negga Action Adventure Fantasy
108,108,108,terminator genisys,Alan Taylor,Action Adventure Sci-Fi,J.K. Simmons,Emilia Clarke,Matt Smith,Alan Taylor J.K. Simmons Emilia Clarke Matt Smith Action Adventure Sci-Fi
109,109,109,the chronicles of narnia: the voyage of the dawn treader,Michael Apted,Adventure Family Fantasy,Bruce Spence,Shane Rangi,Laura Brent,Michael Apted Bruce Spence Shane Rangi Laura Brent Adventure Family Fantasy
110,110,110,pearl harbor,Michael Bay,Action Drama History Romance War,Jennifer Garner,Jaime King,Mako,Michael Bay Jennifer Garner Jaime King Mako Action Drama History Romance War
111,111,111,transformers,Michael Bay,Action Adventure Sci-Fi,Zack Ward,Michael O'Neill,Kevin Dunn,Michael Bay Zack Ward Michael O'Neill Kevin Dunn Action Adventure Sci-Fi
112,112,112,alexander,Oliver Stone,Action Adventure Biography Drama History Romance War,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Oliver Stone Anthony Hopkins Angelina Jolie Pitt Brian Blessed Action Adventure Biography Drama History Romance War
113,113,113,harry potter and the order of the phoenix,David Yates,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,David Yates Robert Pattinson Daniel Radcliffe Fiona Shaw Adventure Family Fantasy Mystery
114,114,114,harry potter and the goblet of fire,Mike Newell,Adventure Family Fantasy Mystery,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Mike Newell Robert Pattinson Daniel Radcliffe Rupert Grint Adventure Family Fantasy Mystery
115,115,115,hancock,Peter Berg,Action Drama,Will Smith,Charlize Theron,Eddie Marsan,Peter Berg Will Smith Charlize Theron Eddie Marsan Action Drama
116,116,116,i am legend,Francis Lawrence,Drama Horror Sci-Fi,Will Smith,Alice Braga,Willow Smith,Francis Lawrence Will Smith Alice Braga Willow Smith Drama Horror Sci-Fi
117,117,117,charlie and the chocolate factory,Tim Burton,Adventure Comedy Family Fantasy,Johnny Depp,Christopher Lee,David Kelly,Tim Burton Johnny Depp Christopher Lee David Kelly Adventure Comedy Family Fantasy
118,118,118,ratatouille,Brad Bird,Animation Comedy Family Fantasy,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Brad Bird Janeane Garofalo John Ratzenberger Brian Dennehy Animation Comedy Family Fantasy
119,119,119,batman begins,Christopher Nolan,Action Adventure,Christian Bale,Liam Neeson,Morgan Freeman,Christopher Nolan Christian Bale Liam Neeson Morgan Freeman Action Adventure
120,120,120,madagascar: escape 2 africa,Eric Darnell,Action Adventure Animation Comedy Family,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Eric Darnell Bernie Mac Jada Pinkett Smith Cedric the Entertainer Action Adventure Animation Comedy Family
121,121,121,night at the museum: battle of the smithsonian,Shawn Levy,Adventure Comedy Family Fantasy,Robin Williams,Rami Malek,Steve Coogan,Shawn Levy Robin Williams Rami Malek Steve Coogan Adventure Comedy Family Fantasy
122,122,122,x-men origins: wolverine,Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Gavin Hood Hugh Jackman Ryan Reynolds Dominic Monaghan Action Adventure Fantasy Sci-Fi Thriller
123,123,123,the matrix revolutions,Lana Wachowski,Action Sci-Fi,Essie Davis,Collin Chou,Nona Gaye,Lana Wachowski Essie Davis Collin Chou Nona Gaye Action Sci-Fi
124,124,124,frozen,Chris Buck,Adventure Animation Comedy Family Fantasy Musical,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Chris Buck Josh Gad Maurice LaMarche Livvy Stubenrauch Adventure Animation Comedy Family Fantasy Musical
125,125,125,the matrix reloaded,Lana Wachowski,Action Sci-Fi,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Lana Wachowski Steve Bastoni Daniel Bernhardt Helmut Bakaitis Action Sci-Fi
126,126,126,thor: the dark world,Alan Taylor,Action Adventure Fantasy,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Alan Taylor Chris Hemsworth Natalie Portman Anthony Hopkins Action Adventure Fantasy
127,127,127,mad max: fury road,George Miller,Action Adventure Sci-Fi Thriller,Tom Hardy,Charlize Theron,Zoë Kravitz,George Miller Tom Hardy Charlize Theron Zoë Kravitz Action Adventure Sci-Fi Thriller
